objectid,parentid,identifier,title,creator,date,description,subject,location,latitude,longitude,source,type ,format,language,rights,rights statement,display_template,filename,object_location,image_small,image_thumb,relation,coverage
rgv0001,,rgv0001,El amor y los garrotazos,"Padilla, Benjamin",1911-05-04,Dialogues that pain and abuse against a female is synonomous with love in relationships.,Domestic Violence; Marital violence; social conditions of women; violence in literature; women & literature,"Los Angeles, California",34.0522,-118.2437,Recovering Gender Violence. Arte Pœblico Press/Recovering the US Hispanic Literary Heritage. ,StillImage,image/jpeg,span,Arte Pœblico Press,,image,rgv0001.jpg,https://github.com/roseliabanuelos/recordinggenderviolence/blob/main/objects/rgv0001.jpg ,,,,
rgv0002,,rgv0002,Las mujeres mexicanas In: Cronicas de California,"Piada, Joaquin",1918-08-18,Essay in a newspaper dialoging how war has affected men to become violent with women.,"Mexicans; Politics & Culture; War Victims, Women","San Antonio, Texas",29.4241,-98.4936,Recovering Gender Violence. Arte Pœblico Press/Recovering the US Hispanic Literary Heritage. ,StillImage,image/jpeg,span,Arte Pœblico Press,,image,rgv0002.jpg,https://github.com/roseliabanuelos/recordinggenderviolence/blob/main/objects/rgv0002.jpg ,,,,
rgv0003,,rgv0003,El pu–o suena igual en todo el mundo: Cantando el abuso domÃ©stico en MÃ©xico y Tanzania,"Rosenberg, Aaron Louis",1905-07-07,Discourse on the similiraties between a Mexican and Tanzanian song on domestic violence.,"folk literature; folk poetry; folk song; popular song; Mexico; Tanzania; Hadad, Astrid; Ongala, Remmy","Mexico City, D.F.",19.4326,-99.1332,Recovering Gender Violence. Arte Pœblico Press/Recovering the US Hispanic Literary Heritage. ,StillImage,image/jpeg,span,Arte Pœblico Press,,image,rgv0003.jpg,https://github.com/roseliabanuelos/recordinggenderviolence/blob/main/objects/rgv0003.jpg ,,,,
rgv0004,,rgv0004,Hace algunos dias se quejaba una mujer...,Zig Zags,1906-08-11,Essay telling a story of a female cook discussins her relationship with her boss and the abuse that exists within it; considered hilarious literature.,Domestic Violence; Man-Woman Relationships; Marriage,"El Paso, Texas",31.7619,-106.485,Recovering Gender Violence. Arte Pœblico Press/Recovering the US Hispanic Literary Heritage. ,StillImage,image/jpeg,span,Arte Pœblico Press,,image,rgv0004.jpg,https://github.com/roseliabanuelos/recordinggenderviolence/blob/main/objects/rgv0004.jpg ,,,,
rgv0005,,rgv0005,La dama,"Dicenta, Joaquin",1916-08-21,"Short story about a man who is violent with wife. Wife reports to brother and brother talks to man. Man still refuses to change his ways stating he is the "" amo de la casa,"" man of the house,",Domestic Violence; families; man-woman relationships,"San Antonio, Texas",29.4241,-98.4936,Recovering Gender Violence. Arte Pœblico Press/Recovering the US Hispanic Literary Heritage. ,StillImage,image/jpeg,span,Arte Pœblico Press,,image,rgv0005.jpg,https://github.com/roseliabanuelos/recordinggenderviolence/blob/main/objects/rgv0005.jpg ,,,,
rgv0006,,rgv0006,"El matrimonio, el divorcio y el amor libre",[Unknown],1894-01-13,"Essay on the Catholic church's influence on marriage, how hate will develop within a marriage and the female will remain loyal due to the idea that staying in a marriage, instead of divorcing will preserve the family and society. The ""negative"" effect of polyamorous relationships on marriage and the stability of society.",Divorce; Marriage,"Tucson, Arizona",32.2226,-110.9747,Recovering Gender Violence. Arte Pœblico Press/Recovering the US Hispanic Literary Heritage. ,StillImage,image/jpeg,span,Arte Pœblico Press,,image,rgv0006.jpg,https://github.com/roseliabanuelos/recordinggenderviolence/blob/main/objects/rgv0006.jpg ,,,,
rgv0007,,rgv0007,Amor al vapor,[Unknown],1894-05-03,Short story about a couple that falls in love at first sight and marries within a day. The following day the male is in jail because of domestic abuse and she is hospitalized.,Love; Marriage; Violence,"Tucson, Arizona",32.2226,-110.9747,Recovering Gender Violence. Arte Pœblico Press/Recovering the US Hispanic Literary Heritage. ,StillImage,image/jpeg,span,Arte Pœblico Press,,image,rgv0007.jpg,https://github.com/roseliabanuelos/recordinggenderviolence/blob/main/objects/rgv0007.jpg ,,,,
rgv0008,,rgv0008,Cuidado con la sentencia,[Unknown],1919-11-02,"Very short joke about a couple that has just married and the husbans became violent. Defending himself, the man asks the judge to have pity on him as this is his honey moon.",Violence against women,"San Antonio, Texas",29.4241,-98.4936,Recovering Gender Violence. Arte Pœblico Press/Recovering the US Hispanic Literary Heritage. ,StillImage,image/jpeg,span,Arte Pœblico Press,,image,rgv0008.jpg,https://github.com/roseliabanuelos/recordinggenderviolence/blob/main/objects/rgv0008.jpg ,,,,
rgv0009,,rgv0009,Prueba de amor,[Unknown],1830-06-25,"Man attempts to test his wife's love for him by pretending to hang himself. She sees him and pulls on his legs. He later beats her and after she presents the situation to the court, they separate.",HUMOROUS stories; LOVE; Man- woman relationships; short stories,"New Orleans, Lousiana",29.9511,-90.0715,Recovering Gender Violence. Arte Pœblico Press/Recovering the US Hispanic Literary Heritage. ,StillImage,image/jpeg,span,Arte Pœblico Press,,image,rgv0009.jpg,https://github.com/roseliabanuelos/recordinggenderviolence/blob/main/objects/rgv0009.jpg ,,,,
rgv0010,,rgv0010,Hay que respetar a la mujer,"Jaeger, Clotilde Botances",1930-01-01,Article about a 12 year old child who was asked by a much older man to be his wife. She tells her father what happened and her father tells her to go to the man's house and hit his knees hard. The article goes on to demand that women wake up to how they enable men's oppresive behavior by staying quiet.,Violence against women; Women's rights; Activism,,,,Recovering Gender Violence. Arte Pœblico Press/Recovering the US Hispanic Literary Heritage. ,StillImage,image/jpeg,span,Arte Pœblico Press,,image,rgv0010.jpg,https://github.com/roseliabanuelos/recordinggenderviolence/blob/main/objects/rgv0010.jpg ,,,,
